# Page recording

Recorded for 337 seconds.
Every four-byte word, and what it did. A word that never changed is
padding, a setting, or something this session never reached — and a
word that swept a wide range is a live measurement.


═══ acpmf_physics ═══
2048 bytes, 8376 samples

── words that changed (128 of 512) ──
offset       float min      float max       int min      int max  values
   772          0.0000         0.0000             0            1       2
   776          0.0000         0.0000             0            1       2
   780          0.0000         0.0000             0            1       2
   784         -0.0989         0.0969   -2147483648   1036421255     32+
   788         -1.0000         1.0000   -2147483648   1065353163     32+
   792         -0.8238         0.8019   -1228080881   1062029409     32+
   796         -1.0000         1.0000   -1082130432   1065353216       3

── words that never changed (384) ──
72=0x00000000  76=0x00000000  80=0x00000000  84=0x00000000  120=0x00000000  124=0x00000000  128=0x00000000  132=0x00000000  136=0x00000000  140=0x00000000  144=0x00000000  148=0x00000000  168=0x00000000  172=0x00000000  176=0x00000000  180=0x00000000  200=0x00000000  220=0x00000000  224=0x00000000  228=0x00000000  232=0x00000000  236=0x00000000  240=0x00000000  244=0x00000000  256=0x00000000  260=0x00000000  268=0x00000000  272=0x00000000  280=0x00000000  284=0x00000000  312=0x00000000  316=0x00000000  320=0x00000000  324=0x00000000  328=0x00000000  332=0x00000000  336=0x00000000  340=0x00000000  344=0x00000000  368=0x00000000  372=0x00000000  376=0x00000000  380=0x00000000  384=0x00000000  388=0x00000000  392=0x00000000  396=0x00000000  400=0x00000000  404=0x00000000  408=0x00000000  412=0x00000000  416=0x00000000  580=0x00000000  584=0x00000000  592=0x00000000  596=0x00000000  600=0x00000000  604=0x00000000  608=0x00000000  612=0x00000000  616=0x00000000  620=0x00000000  624=0x00000000  628=0x00000000  632=0x00000000  636=0x00000000  672=0x00000000  676=0x00000000  680=0x00000000  684=0x00000000  688=0x00000000  692=0x00000000  800=0x00000000  804=0x00000000  808=0x00000000  812=0x00000000  816=0x00000000  820=0x00000000  824=0x00000000  828=0x00000000  832=0x00000000  836=0x00000000  840=0x00000000  844=0x00000000  848=0x00000000  852=0x00000000  856=0x00000000  860=0x00000000  864=0x00000000  868=0x00000000  872=0x00000000  876=0x00000000  880=0x00000000  884=0x00000000  888=0x00000000  892=0x00000000  896=0x00000000  900=0x00000000  904=0x00000000  908=0x00000000  912=0x00000000  916=0x00000000  920=0x00000000  924=0x00000000  928=0x00000000  932=0x00000000  936=0x00000000  940=0x00000000  944=0x00000000  948=0x00000000  952=0x00000000  956=0x00000000  960=0x00000000  964=0x00000000  968=0x00000000  972=0x00000000  976=0x00000000  980=0x00000000  984=0x00000000  988=0x00000000  992=0x00000000  996=0x00000000  1000=0x00000000  1004=0x00000000  1008=0x00000000  1012=0x00000000  1016=0x00000000  1020=0x00000000  1024=0x00000000  1028=0x00000000  1032=0x00000000  1036=0x00000000  1040=0x00000000  1044=0x00000000  1048=0x00000000  1052=0x00000000  1056=0x00000000  1060=0x00000000  1064=0x00000000  1068=0x00000000  1072=0x00000000  1076=0x00000000  1080=0x00000000  1084=0x00000000  1088=0x00000000  1092=0x00000000  1096=0x00000000  1100=0x00000000  1104=0x00000000  1108=0x00000000  1112=0x00000000  1116=0x00000000  1120=0x00000000  1124=0x00000000  1128=0x00000000  1132=0x00000000  1136=0x00000000  1140=0x00000000  1144=0x00000000  1148=0x00000000  1152=0x00000000  1156=0x00000000  1160=0x00000000  1164=0x00000000  1168=0x00000000  1172=0x00000000  1176=0x00000000  1180=0x00000000  1184=0x00000000  1188=0x00000000  1192=0x00000000  1196=0x00000000  1200=0x00000000  1204=0x00000000  1208=0x00000000  1212=0x00000000  1216=0x00000000  1220=0x00000000  1224=0x00000000  1228=0x00000000  1232=0x00000000  1236=0x00000000  1240=0x00000000  1244=0x00000000  1248=0x00000000  1252=0x00000000  1256=0x00000000  1260=0x00000000  1264=0x00000000  1268=0x00000000  1272=0x00000000  1276=0x00000000  1280=0x00000000  1284=0x00000000  1288=0x00000000  1292=0x00000000  1296=0x00000000  1300=0x00000000  1304=0x00000000  1308=0x00000000  1312=0x00000000  1316=0x00000000  1320=0x00000000  1324=0x00000000  1328=0x00000000  1332=0x00000000  1336=0x00000000  1340=0x00000000  1344=0x00000000  1348=0x00000000  1352=0x00000000  1356=0x00000000  1360=0x00000000  1364=0x00000000  1368=0x00000000  1372=0x00000000  1376=0x00000000  1380=0x00000000  1384=0x00000000  1388=0x00000000  1392=0x00000000  1396=0x00000000  1400=0x00000000  1404=0x00000000  1408=0x00000000  1412=0x00000000  1416=0x00000000  1420=0x00000000  1424=0x00000000  1428=0x00000000  1432=0x00000000  1436=0x00000000  1440=0x00000000  1444=0x00000000  1448=0x00000000  1452=0x00000000  1456=0x00000000  1460=0x00000000  1464=0x00000000  1468=0x00000000  1472=0x00000000  1476=0x00000000  1480=0x00000000  1484=0x00000000  1488=0x00000000  1492=0x00000000  1496=0x00000000  1500=0x00000000  1504=0x00000000  1508=0x00000000  1512=0x00000000  1516=0x00000000  1520=0x00000000  1524=0x00000000  1528=0x00000000  1532=0x00000000  1536=0x00000000  1540=0x00000000  1544=0x00000000  1548=0x00000000  1552=0x00000000  1556=0x00000000  1560=0x00000000  1564=0x00000000  1568=0x00000000  1572=0x00000000  1576=0x00000000  1580=0x00000000  1584=0x00000000  1588=0x00000000  1592=0x00000000  1596=0x00000000  1600=0x00000000  1604=0x00000000  1608=0x00000000  1612=0x00000000  1616=0x00000000  1620=0x00000000  1624=0x00000000  1628=0x00000000  1632=0x00000000  1636=0x00000000  1640=0x00000000  1644=0x00000000  1648=0x00000000  1652=0x00000000  1656=0x00000000  1660=0x00000000  1664=0x00000000  1668=0x00000000  1672=0x00000000  1676=0x00000000  1680=0x00000000  1684=0x00000000  1688=0x00000000  1692=0x00000000  1696=0x00000000  1700=0x00000000  1704=0x00000000  1708=0x00000000  1712=0x00000000  1716=0x00000000  1720=0x00000000  1724=0x00000000  1728=0x00000000  1732=0x00000000  1736=0x00000000  1740=0x00000000  1744=0x00000000  1748=0x00000000  1752=0x00000000  1756=0x00000000  1760=0x00000000  1764=0x00000000  1768=0x00000000  1772=0x00000000  1776=0x00000000  1780=0x00000000  1784=0x00000000  1788=0x00000000  1792=0x00000000  1796=0x00000000  1800=0x00000000  1804=0x00000000  1808=0x00000000  1812=0x00000000  1816=0x00000000  1820=0x00000000  1824=0x00000000  1828=0x00000000  1832=0x00000000  1836=0x00000000  1840=0x00000000  1844=0x00000000  1848=0x00000000  1852=0x00000000  1856=0x00000000  1860=0x00000000  1864=0x00000000  1868=0x00000000  1872=0x00000000  1876=0x00000000  1880=0x00000000  1884=0x00000000  1888=0x00000000  1892=0x00000000  1896=0x00000000  1900=0x00000000  1904=0x00000000  1908=0x00000000  1912=0x00000000  1916=0x00000000  1920=0x00000000  1924=0x00000000  1928=0x00000000  1932=0x00000000  1936=0x00000000  1940=0x00000000  1944=0x00000000  1948=0x00000000  1952=0x00000000  1956=0x00000000  1960=0x00000000  1964=0x00000000  1968=0x00000000  1972=0x00000000  1976=0x00000000  1980=0x00000000  1984=0x00000000  1988=0x00000000  1992=0x00000000  1996=0x00000000  2000=0x00000000  2004=0x00000000  2008=0x00000000  2012=0x00000000  2016=0x00000000  2020=0x00000000  2024=0x00000000  2028=0x00000000  2032=0x00000000  2036=0x00000000  2040=0x00000000  2044=0x00000000

── the last sample, as a layout-test constant ──
const PHYSICS_PAGE_HEX: &str = concat!(
    "e3fb010000000000a2cf523f00007842050000009b17000000000000b4e62543",
    "65ccc3c1a887973fcbf01bc2c67f07bcf17157bddccabebfc9ab913f0146733f",
    "447abe3e9091bd3e00000000000000000000000000000000700bda417eaad841",
    "464cd4411db1d3412820f542dcb9f9426063fb426063fb420000000000000000",
    "0000000000000000000000000000000000000000000000006348ae4242b1aa42",
    "e5fbaf42d567ae42000000000000000000000000000000007ee35a3c75e6633c",
    "9015863c16178f3c0000000000000000881f25404a65443c10da05bd00000000",
    "0000000000000000000000000000000000000000000000000000000000000000",
